,id,name,preview_url,artist,duration,popularity,release_date,valence,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,tempo
4150,7rl7ao5pb9BhvAzPdWStxi,Telephone,https://p.scdn.co/mp3-preview/886a6d1203ce8dc1c983b0e7352b5422b8d3d14f?cid=02b0e243b26741fa8d571a7f61aa4518,1HY2Jd0NmPuamShAr6KMms,220626.0,71.0,2009-08-05,0.713,0.825,0.832,5,-5.853,0,0.0403,0.00587,0.000789,0.114,122.021
4151,2brZuBB3TB9cLfwilnXj5n,"Beautiful, Dirty, Rich",https://p.scdn.co/mp3-preview/2887025a281c485a0fe88e4c1c3a5f6244620acf?cid=02b0e243b26741fa8d571a7f61aa4518,1HY2Jd0NmPuamShAr6KMms,172413.0,24.0,2009-08-05,0.696,0.784,0.907,2,-5.235,1,0.148,0.0172,0.0523,0.324,120.059
4152,1to8Jf0EP0ovs95OjMCIZY,Money Honey,https://p.scdn.co/mp3-preview/ec044b446ac1ba68477005f3d8f4fa0457f50cd7?cid=02b0e243b26741fa8d571a7f61aa4518,1HY2Jd0NmPuamShAr6KMms,170293.0,22.0,2009-08-05,0.864,0.777,0.754,10,-3.227,0,0.047,0.0135,0.000295,0.0775,119.003
4153,7ju97lgwC2rKQ6wwsf9no9,Rain On Me (with Ariana Grande),https://p.scdn.co/mp3-preview/dfe19ef6e85dcfd3b08146d64cb097936ac81973?cid=02b0e243b26741fa8d571a7f61aa4518,1HY2Jd0NmPuamShAr6KMms,182200.0,77.0,2020-05-29,0.646,0.672,0.855,9,-3.764,1,0.0397,0.021,0.0,0.323,123.056
4154,4tzt8RXQ5lx9O58wQC0DU6,How You Like That (English ver.),,11lkgGMWBnGCnTeGj3ECbE,176614.0,0.0,2021-06-14,0.469,0.797,0.842,11,-5.48,1,0.0702,0.531,6.68e-06,0.0596,130.021
4155,3x4378ztiLvFmm2nuzEI0C,A Cruel Angel's Thesis (Director's Edit Version),https://p.scdn.co/mp3-preview/1a6d129157903bb704c0ad137b8c186c933861c4?cid=02b0e243b26741fa8d571a7f61aa4518,5k3NfhEeZHpouIGDpjKOPo,245093.0,64.0,2019-06-21,0.588,0.646,0.677,0,-9.477,0,0.0432,0.0337,2e-06,0.13,128.125
4156,2BlDX1yfT0ea5wo0vjCKKa,光るなら,https://p.scdn.co/mp3-preview/64564d6a136e940da435c3cfa873838e712d3ed9?cid=02b0e243b26741fa8d571a7f61aa4518,7BzEKSgHp2yrNC6w5NkFhQ,252133.0,69.0,2015-02-25,0.571,0.491,0.879,6,-2.722,0,0.0652,0.391,0.0,0.342,160.092
4157,03GBiorLGTk7T4IScIl4jj,Ex-Wives,https://p.scdn.co/mp3-preview/0c9c33aac38c27a55ba22f61a0659a9714c87cf7?cid=02b0e243b26741fa8d571a7f61aa4518,1VbWMsap5Ex2erHPlmndr0,350218.0,65.0,2018-08-31,0.367,0.703,0.443,0,-9.601,0,0.0862,0.0499,0.0,0.338,136.647
4158,3jnntYfllN05QxplcXtpaS,Six,https://p.scdn.co/mp3-preview/c07a8b4cb8bb2b02cbf7ff7a2db70a9a19f1ddb9?cid=02b0e243b26741fa8d571a7f61aa4518,1VbWMsap5Ex2erHPlmndr0,239795.0,64.0,2018-08-31,0.64,0.729,0.674,3,-6.249,1,0.0435,0.159,0.0,0.105,135.026
4159,2ldBp6eNIE4wk8C3j0bz8n,No Way,https://p.scdn.co/mp3-preview/87b2cd4a113cd43d3d7e2ca0636c7187cd8b54ca?cid=02b0e243b26741fa8d571a7f61aa4518,1VbWMsap5Ex2erHPlmndr0,241501.0,62.0,2018-08-31,0.511,0.629,0.713,5,-6.498,0,0.173,0.0306,0.0,0.173,119.363
4160,3akeuMy9bqJbqDlfYevbwN,Heart of Stone,https://p.scdn.co/mp3-preview/0fefa01beb71468fcc3684b99f28716ff7daa483?cid=02b0e243b26741fa8d571a7f61aa4518,1VbWMsap5Ex2erHPlmndr0,311301.0,60.0,2018-08-31,0.101,0.513,0.426,5,-8.14,1,0.03,0.452,0.0,0.115,115.196
4161,34TY5bMvFrfPlZ7jqeGxi4,I Don't Need Your Love,https://p.scdn.co/mp3-preview/c55e60146655ee11ac3f26d9745fca00b99d227e?cid=02b0e243b26741fa8d571a7f61aa4518,1VbWMsap5Ex2erHPlmndr0,367989.0,58.0,2018-08-31,0.331,0.535,0.447,5,-8.569,1,0.0612,0.326,0.0,0.192,97.611
4162,6bo3wF9Gfmr7iFlIaGfo1g,Haus of Holbein,https://p.scdn.co/mp3-preview/4d9b00f8864f9296856aabfa01dd79ad4bc6a790?cid=02b0e243b26741fa8d571a7f61aa4518,1VbWMsap5Ex2erHPlmndr0,126870.0,60.0,2018-08-31,0.832,0.672,0.666,5,-6.534,0,0.156,0.0362,0.0,0.323,150.111
4163,0Zh3tKIphLOvQux4dA6PFZ,Mama,https://p.scdn.co/mp3-preview/f3120571e42f0973603f59f327785b6a716bbf24?cid=02b0e243b26741fa8d571a7f61aa4518,7FBcuc1gsnv6Y1nwFtNRCb,279026.0,68.0,2006-10-23,0.303,0.236,0.799,4,-5.167,0,0.0939,0.0136,0.0,0.0948,208.951
4164,6BFVrGUZUO1EXxKIdGrlYB,Lone Star,,5ictveRyhWRs8Gt8Dvt1hS,230050.0,0.0,2013-05-21,0.811,0.395,0.921,4,-6.041,1,0.0622,0.0647,3.47e-05,0.307,148.513
4165,1LkoYGxmYpO6QSEvY5C0Zl,Scotty Doesn't Know,https://p.scdn.co/mp3-preview/f54786a4ba3aee93d36a938349e0decafd824cb8?cid=02b0e243b26741fa8d571a7f61aa4518,3IJ770I1QPmwVp7yug0eJ4,175200.0,71.0,2006,0.544,0.317,0.887,0,-4.525,1,0.0472,0.000449,9.23e-06,0.363,174.009
4166,4899seT29xtzoVBxYxGpfF,I Know Things Now,https://p.scdn.co/mp3-preview/b0cc8cd79cae4521d4f0e25635b8e1a16c126213?cid=02b0e243b26741fa8d571a7f61aa4518,0LyfQWJT6nXafLPZqxe9Of,124773.0,41.0,2014-01-01,0.587,0.68,0.189,0,-13.535,1,0.0752,0.845,0.0,0.0964,132.907
4167,54JaBXvtIQU9lbpfy8Isdn,Stay With Me,https://p.scdn.co/mp3-preview/c7221b4186b34703d6cc15a36da7c9e4cd4e18ab?cid=02b0e243b26741fa8d571a7f61aa4518,0LyfQWJT6nXafLPZqxe9Of,194973.0,38.0,2014-01-01,0.323,0.39,0.116,3,-12.782,1,0.0446,0.961,9.8e-06,0.274,105.921
4168,4qnOxzNUfUfmsloijG5ex0,Last Midnight,https://p.scdn.co/mp3-preview/9d6de1c371e0fdcb278d97271d07a01bcef97903?cid=02b0e243b26741fa8d571a7f61aa4518,0LyfQWJT6nXafLPZqxe9Of,214173.0,44.0,2014-01-01,0.275,0.469,0.338,1,-8.624,1,0.074,0.829,1.32e-06,0.12,55.931
4169,37BEajFxP7B1bOFPnBiwVd,No One Is Alone,https://p.scdn.co/mp3-preview/4798a0eaa366a3a7b3c584ae022c769bbc3c2f7f?cid=02b0e243b26741fa8d571a7f61aa4518,0LyfQWJT6nXafLPZqxe9Of,178186.0,46.0,2014-01-01,0.237,0.341,0.0557,1,-19.018,1,0.0427,0.913,0.0,0.112,111.848
4170,12GTBy9hDysvblcr2XC5wq,夜が明ける,https://p.scdn.co/mp3-preview/df8a34a7c8d5e07e6daecbfb092f13b23ffede66?cid=02b0e243b26741fa8d571a7f61aa4518,6LQYtKNp3ZsJ9xOzVVUj5j,281360.0,59.0,2020-08-26,0.241,0.429,0.957,9,-2.266,1,0.1,0.0127,0.0,0.251,90.053
4171,7rr5DQM980mOF1UtIC4q6v,Judas,https://p.scdn.co/mp3-preview/bf216441a645b248f2aa1e2a34a4ccc0f26c9baf?cid=02b0e243b26741fa8d571a7f61aa4518,1HY2Jd0NmPuamShAr6KMms,249066.0,60.0,2011-01-01,0.53,0.664,0.934,10,-3.848,0,0.0697,0.00108,2.77e-05,0.27,130.982
4172,7pKd9l7ef8BoII1NQREB6G,ごめんね ごめんね,https://p.scdn.co/mp3-preview/d1586ecf9fa9f1a138308ba6060556a99b55bdc1?cid=02b0e243b26741fa8d571a7f61aa4518,5FhcqamaRFfpZb4VHV47fu,286000.0,58.0,2012-11-14,0.198,0.606,0.938,6,-2.628,0,0.0622,0.0871,2.97e-05,0.406,110.01
4173,7corSqnjU5bX09ZXy3nhVD,君はできない子,https://p.scdn.co/mp3-preview/dd025e23728d03233877d07fa024252e3e5b2516?cid=02b0e243b26741fa8d571a7f61aa4518,5FhcqamaRFfpZb4VHV47fu,261600.0,64.0,2013-09-11,0.758,0.681,0.839,9,-5.398,1,0.0286,0.0593,1.4e-05,0.119,128.018
4174,6a0G8hYEyxqvEkebVLU5VK,しかばねの踊り,https://p.scdn.co/mp3-preview/1997590c63a0aa4593ef722af351f760a7132c60?cid=02b0e243b26741fa8d571a7f61aa4518,5FhcqamaRFfpZb4VHV47fu,228339.0,66.0,2013-09-11,0.862,0.7,0.834,6,-4.134,0,0.0323,0.259,0.0,0.0545,134.979
4175,0zYPXjH0LMoyIMYA6o10ft,へたくそ,https://p.scdn.co/mp3-preview/2b5c9838da3b8bbbd206c70cb6e2050a6ca5fdcc?cid=02b0e243b26741fa8d571a7f61aa4518,6LQYtKNp3ZsJ9xOzVVUj5j,188333.0,51.0,2020-08-26,0.377,0.349,0.935,8,-2.698,1,0.138,0.000897,1.46e-06,0.252,180.187
4176,6uxYfENm7zw050dNUi031W,The Edge Of Glory,https://p.scdn.co/mp3-preview/40731540c9ac7fe0ac0e12734f6fc8e23b695005?cid=02b0e243b26741fa8d571a7f61aa4518,1HY2Jd0NmPuamShAr6KMms,320546.0,49.0,2011-01-01,0.357,0.583,0.768,9,-6.477,1,0.041,0.000323,0.0162,0.109,127.952
4177,7lRlq939cDG4SzWOF4VAnd,I'm Not Okay (I Promise),https://p.scdn.co/mp3-preview/44a5c0065dd2f9e8069a89712c4bf8d972286363?cid=02b0e243b26741fa8d571a7f61aa4518,7FBcuc1gsnv6Y1nwFtNRCb,186480.0,76.0,2004-06-08,0.255,0.21,0.94,9,-3.427,1,0.123,0.00602,0.0,0.269,179.722
4178,17weS3aO2oaGYJ9Q9yM56X,I'm Not Ok,https://p.scdn.co/mp3-preview/258bc6306a2cd5bd56de604e4c2c55f9aab6b96c?cid=02b0e243b26741fa8d571a7f61aa4518,4OTFxPi5CtWyj1NThDe6z5,181173.0,60.0,2018-06-22,0.542,0.397,0.962,9,-3.386,1,0.0639,0.00628,0.0,0.238,177.927
4179,0LAfANg75hYiV1IAEP3vY6,Take Your Mama,https://p.scdn.co/mp3-preview/abef74d48c129641450ef98b7358810194b430aa?cid=02b0e243b26741fa8d571a7f61aa4518,3Y10boYzeuFCJ4Qgp53w6o,271906.0,55.0,2004-01-01,0.933,0.757,0.957,8,-4.617,1,0.106,0.209,2.29e-05,0.0624,153.944
4180,2aZrppfOAxTAGoTAQPBCf4,HUNTING FOR YOUR DREAM (TVサイズ),https://p.scdn.co/mp3-preview/74d060e4565baa376768fb38e4af32a7c7ffda55?cid=02b0e243b26741fa8d571a7f61aa4518,0LyfQWJT6nXafLPZqxe9Of,80960.0,53.0,2012-08-22,0.922,0.386,0.928,11,-3.774,1,0.0741,0.0165,0.0,0.333,176.004
4181,0jk6J6B9ivegJc7dTg10Mp,Let Me Down,https://p.scdn.co/mp3-preview/a7ea2ea8565d66a3f8cebc2182132b87a356d318?cid=02b0e243b26741fa8d571a7f61aa4518,6TLwD7HPWuiOzvXEa3oCNe,111209.0,65.0,2020-07-17,0.736,0.457,0.648,7,-5.762,1,0.0552,0.0114,1.69e-05,0.212,160.021
4182,2PFnwW05Wh0MYkfZxSwfuf,Miracle Man,https://p.scdn.co/mp3-preview/2934b74da60fb342d4e0244f54a50a445a40fd89?cid=02b0e243b26741fa8d571a7f61aa4518,6TLwD7HPWuiOzvXEa3oCNe,125051.0,63.0,2020-07-17,0.662,0.67,0.477,0,-7.774,1,0.0308,0.0932,0.0,0.414,140.029
4183,7yBbV2k2S2uhaQc24NF2xt,Stupid Love,https://p.scdn.co/mp3-preview/444fe3d394144a65224041dfded9ed6c18e3910c?cid=02b0e243b26741fa8d571a7f61aa4518,1HY2Jd0NmPuamShAr6KMms,193533.0,71.0,2020-05-29,0.784,0.68,0.825,8,-4.296,1,0.0702,0.00173,0.000122,0.27,117.987
4184,3qrQtMmkuV79LMGfsGDHRf,"Beautiful, Dirty, Rich",https://p.scdn.co/mp3-preview/c790e7b7234b373f0027d9563a0b80b533f29b70?cid=02b0e243b26741fa8d571a7f61aa4518,1HY2Jd0NmPuamShAr6KMms,172413.0,52.0,2008-01-01,0.697,0.782,0.906,2,-5.229,1,0.152,0.017,0.0503,0.293,120.064
4185,13q9jx4F8R2SEhIMGiZiV5,All About Us,https://p.scdn.co/mp3-preview/4e05ac58161d10aa382f848b0ec1d27782b51c70?cid=02b0e243b26741fa8d571a7f61aa4518,2Q3eZMfDQgT8MhPowKFXYO,180960.0,52.0,2005-01-01,0.752,0.492,0.907,7,-4.746,0,0.0336,0.443,1.96e-05,0.337,162.119
4186,2zYzyRzz6pRmhPzyfMEC8s,Highway to Hell,https://p.scdn.co/mp3-preview/3589df13595d1ab1a2667db423b76c7e1e86ed73?cid=02b0e243b26741fa8d571a7f61aa4518,711MCceyCBcFnzjGY4Q7Un,208400.0,84.0,1979-07-27,0.423,0.574,0.913,6,-4.793,0,0.133,0.061,0.00158,0.156,115.728
4187,57bgtoPSgt236HzfBOd8kj,Thunderstruck,https://p.scdn.co/mp3-preview/01b367e5b8032faf123793fe7c1c5e7daf4cc7ed?cid=02b0e243b26741fa8d571a7f61aa4518,711MCceyCBcFnzjGY4Q7Un,292880.0,84.0,1990-09-24,0.259,0.502,0.89,4,-5.175,1,0.0364,0.000147,0.0117,0.217,133.52
4188,4fixebDZAVToLbUCuEloa2,Womanizer,https://p.scdn.co/mp3-preview/a20a3aa314b7c8c75e0d10b458b623801c7befb9?cid=02b0e243b26741fa8d571a7f61aa4518,26dSoYclwsYLMAKD3tpOr4,224400.0,76.0,2008-12-02,0.235,0.724,0.695,11,-5.226,1,0.0622,0.073,0.0,0.0889,139.0
